trial,prefix,available,n_frames,total_distance_m,total_sim_time_s,avg_speed_kmh,max_speed_kmh,speed_std_kmh,risk_auc,risk_per_meter,mean_risk,max_risk
auto_19D_CloudySunset_Town10HD_LowVol,base,True,205,323.02039662611327,51.25,16.27410847573116,27.3570086886207,12.367675055788036,138.74317513325468,3.239274090452746,2.719647066205572,7.944875356184691
auto_19D_CloudySunset_Town10HD_LowVol,e2e,True,360,324.275655055579,90.0,12.986184567233344,27.579518852316706,3.2200712404720107,208.75286257255362,2.3864693790537816,2.325152263830878,6.335026879232084
auto_19D_CloudySunset_Town10HD_LowVol,composed,True,312,323.5933727618423,78.0,14.976830820675822,27.866118200224513,9.25001228628079,188.6972435750062,2.6019314255464145,2.42548256108659,6.31772709918615
auto_19D_CloudySunset_Town10HD_LowVol,half_slow,True,290,324.47852143270046,72.5,16.157956733190804,26.386868236657527,11.487018032086176,195.52913495331347,3.2022495545880014,2.704954726487015,7.303439999825369
auto_19D_CloudySunset_Town10HD_LowVol,slow,True,321,324.24432205669854,80.25,14.590538127080944,22.48316614630383,7.8069473186750935,187.45496741317567,2.496820990561597,2.3411509785381326,6.480832473326973
auto_19D_CloudySunset_Town10HD_LowVol,very_slow,True,362,324.31344343825975,90.5,12.916350951760299,13.805168747884082,1.4105553056149227,202.8636276093944,2.245735332572514,2.245982197456754,5.803244302507874
auto_19D_CloudySunset_Town10HD_LowVol,riskfn1,True,286,323.9664276523403,71.5,16.347581260200243,27.732512522461484,11.749283586762504,187.19520019588313,3.042570829616233,2.6270541371059513,7.283149449882899
auto_19D_CloudySunset_Town10HD_LowVol,riskfn2,True,289,324.4624313504418,72.25,16.211230057243032,27.551994295082686,12.317132464457092,192.10616284202894,3.1646376535469365,2.6656769865972985,7.81767996575262
auto_19D_CloudySunset_Town10HD_LowVol,riskfn3,True,314,323.5435314011315,78.5,14.878484711569302,27.76505858192845,10.593016901329372,203.1372970785847,2.72500707935285,2.5954996152549556,6.088701829263314
auto_19D_CloudySunset_Town10HD_LowVol,riskfn4,True,291,323.7566012604242,72.75,16.06842767440234,27.945949537260734,11.722371358877057,191.8221211158846,2.935504113738624,2.6433175039845103,6.759571233370953
auto_19D_CloudySunset_Town10HD_LowVol,riskfn5,True,293,324.6693902551396,73.25,16.00039342480246,27.778429039172945,11.70709801810378,192.30905677602158,2.8877633448384943,2.6318742639857815,6.492668884027979
