trial,prefix,available,n_frames,total_distance_m,total_sim_time_s,avg_speed_kmh,max_speed_kmh,speed_std_kmh,risk_auc,risk_per_meter,mean_risk,max_risk
auto_17C_WetNoon_Town10HD_HighVol,base,True,179,160.81654783066023,44.75,9.283856524284998,27.343141575331448,12.015807929523573,105.70562048314875,3.716435004098731,2.3916925788713868,12.515526153208375
auto_17C_WetNoon_Town10HD_HighVol,e2e,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_17C_WetNoon_Town10HD_HighVol,composed,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_17C_WetNoon_Town10HD_HighVol,half_slow,True,250,160.0301591684084,62.5,9.254519521027579,26.33254103459289,11.564126518295316,151.17219564892372,3.6555424533281045,2.4392654148857353,12.575100812552638
auto_17C_WetNoon_Town10HD_HighVol,slow,True,250,159.8615489596813,62.5,9.257244809468085,22.5028136572569,9.25290299350485,151.37007832103498,3.4831422702945254,2.4401452879122894,11.377867806950382
auto_17C_WetNoon_Town10HD_HighVol,very_slow,True,274,160.35966729627177,68.5,8.45161607613095,14.341319177987678,6.136878319397759,154.23146403202662,2.830472432318128,2.2621083143128966,8.795999885618768
auto_17D_WetNoon_Town10HD_LowVol,base,True,457,422.2457678792108,114.25,9.532010167810617,27.558812492902394,12.186544755389022,265.7825185071867,3.666130289298723,2.3324620649782215,11.574460413462726
auto_17D_WetNoon_Town10HD_LowVol,e2e,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_17D_WetNoon_Town10HD_LowVol,composed,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_17D_WetNoon_Town10HD_LowVol,half_slow,True,644,423.0132446160423,161.0,9.482274821582767,26.079728188531323,11.751372401483536,365.0087381779725,3.557075721844836,2.270835443655194,11.435372697438055
auto_17D_WetNoon_Town10HD_LowVol,slow,True,668,423.8225231421561,167.0,9.149802695974602,22.314480979998695,9.292939442345354,372.9720253381102,3.095277902739346,2.235744303482026,9.466115256674376
auto_17D_WetNoon_Town10HD_LowVol,very_slow,True,731,423.69383559462364,182.75,8.342041872533692,14.167300405389113,6.172170792665644,411.909751992484,2.6857617129465785,2.25642408087629,7.507000408098505
auto_18C_MidRainyNoon_Town10HD_HighVol,base,True,762,215.341137082396,190.5,2.9273327066081998,27.662639812627,7.763605623261832,620.6727256479153,12.025842615425999,3.279524663007663,30.78519100061219
auto_18C_MidRainyNoon_Town10HD_HighVol,e2e,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_18C_MidRainyNoon_Town10HD_HighVol,composed,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_18C_MidRainyNoon_Town10HD_HighVol,half_slow,True,1200,120.87414736716752,300.0,1.4511993574814341,25.815609866237413,5.755266854595887,767.8458702520445,11.26094716090421,2.56112884934396,19.729095160089805
auto_18C_MidRainyNoon_Town10HD_HighVol,slow,True,1200,206.34818062576704,300.0,2.4773031729102595,22.390816852889365,6.301836751837521,817.2780349146092,8.283590823578244,2.725622250464296,15.937153093902431
auto_18C_MidRainyNoon_Town10HD_HighVol,very_slow,True,897,216.17652354671455,224.25,3.482107025659213,14.081317636591743,5.741108809044996,660.9139246753572,6.614865537982504,2.950794164667083,10.427034760076756
auto_18D_MidRainyNoon_Town10HD_LowVol,base,True,276,312.2449706176791,69.0,11.692692589914724,27.702932940041215,12.459900053055211,291.9462391002793,7.024503622967728,4.248964596513424,19.14236058874513
auto_18D_MidRainyNoon_Town10HD_LowVol,e2e,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_18D_MidRainyNoon_Town10HD_LowVol,composed,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto_18D_MidRainyNoon_Town10HD_LowVol,half_slow,True,386,312.4937846949843,96.5,11.694396499527912,26.088591468642697,11.995634219835704,402.8966427870762,6.672256634335291,4.1868636752052195,18.25626358756386
auto_18D_MidRainyNoon_Town10HD_LowVol,slow,True,409,312.38036342095296,102.25,11.022752568432324,22.34676661935977,9.087998157635779,376.53405542452833,4.994532262071133,3.6941811676840373,14.718852526346868
auto_18D_MidRainyNoon_Town10HD_LowVol,very_slow,True,422,312.7170507394672,105.5,10.6877975093916,14.312845888510827,4.957636547999791,371.2456499973604,3.8520883499657765,3.524143306435972,9.555379914266457
